viz_name,pharmacies,neighborhood,average_min_distance,median_min_distance,max_min_distance,x2010_pop,x2010_pop_hisp,x2010_pop_white_non_hisp,x2010_pop_black_non_hisp,x2010_pop_aian_non_hisp,x2010_pop_asian_non_hisp,x2010_pop_nhpi_non_hisp,x2010_pop_other_non_hisp,x2010_pop_two_plus_non_hisp,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_asian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,x2020_pop_two_plus_non_hisp,county,change_pop,change_pop_hisp,change_pop_white_non_hisp,change_pop_black_non_hisp,change_pop_aian_non_hisp,change_pop_asian_non_hisp,change_pop_nhpi_non_hisp,change_pop_other_non_hisp,change_pop_two_plus_non_hisp,pct_change_x2020_pop,pct_change_x2020_pop_hisp,pct_change_x2020_pop_white_non_hisp,pct_change_x2020_pop_black_non_hisp,pct_change_x2020_pop_aian_non_hisp,pct_change_x2020_pop_asian_non_hisp,pct_change_x2020_pop_nhpi_non_hisp,pct_change_x2020_pop_other_non_hisp,pct_change_x2020_pop_two_plus_non_hisp,x2010_pop_white_non_hisp_share,x2010_pop_black_non_hisp_share,x2010_pop_hisp_share,x2020_pop_white_non_hisp_share,x2020_pop_black_non_hisp_share,x2020_pop_hisp_share,x2020_majority_neighborhood_type,x2010_majority_neighborhood_type,majority_changed,color_pct_change_x2020_pop,color_pct_change_x2020_pop_hisp,color_pct_change_x2020_pop_white_non_hisp,color_pct_change_x2020_pop_black_non_hisp,color_pct_change_x2020_pop_aian_non_hisp,color_pct_change_x2020_pop_asian_non_hisp,color_pct_change_x2020_pop_nhpi_non_hisp,color_pct_change_x2020_pop_other_non_hisp,color_pct_change_x2020_pop_two_plus_non_hisp,viz_x2020_pop_white_non_hisp,viz_x2020_pop_black_non_hisp,viz_x2020_pop_hisp,viz_x2020_pop
Belair-Edison,0,belair-edison,0.1998952262350052,0.1710637587229674,0.5660015552498978,13240,147,978,11828,24,105,0,11,145,11656,244,562,10432,26,44,3,45,299,baltimore city,-1584,97,-416,-1395,2,-62,3,33,154,-12,65.6,-42.5,-11.8,8.4,-58.6,1418.9,290.6,106,7,89,1,5,90,2,majority black,majority black,no,red,green,red,red,green,red,green,green,green,562,10432,244,11656
Belair-Parkside,0,belair-parkside,0.09060600747272295,0.08203843984572147,0.22552049324145174,150,3,64,75,0,2,0,0,5,140,7,57,66,0,2,0,0,7,baltimore city,-10,3,-7,-9,-0,1,0,0,2,-6.6,92,-11,-11.9,-50.2,33.5,0,68.7,43.9,43,50,2,41,47,5,majority minority,majority black,yes,red,green,red,red,red,green,red,green,green,57,66,7,140
Bellona-Gittings,0,bellona-gittings,0.09676442956696747,0.08997375534323587,0.20711020758139814,713,18,580,74,2,24,0,2,14,715,32,541,80,1,26,0,4,32,baltimore city,2,14,-40,6,-1,2,0,2,18,0.3,77.4,-6.8,8.7,-50,7.2,NA,133.3,132.8,81,10,3,76,11,4,majority white,majortiy white,yes,green,green,red,green,red,green,NA,green,green,541,80,32,715
Belvedere,0,belvedere,0.11715524615571563,0.13112118669346873,0.2231529809703034,1065,17,115,904,4,7,0,1,17,982,18,105,806,1,11,0,3,39,baltimore city,-83,1,-9,-98,-3,4,-0,2,22,-7.8,5.1,-8.3,-10.9,-84.2,56.2,-50,116.7,133.8,11,85,2,11,82,2,majority black,majority black,no,red,green,red,red,red,green,red,green,green,105,806,18,982
Berea,0,berea,0.5533080146637224,0.5540731832600193,0.7294631752295567,3664,40,27,3543,8,10,0,3,34,2963,133,69,2650,10,6,1,12,82,baltimore city,-701,92,42,-893,3,-4,1,9,48,-19.1,228.7,158.5,-25.2,35.7,-39.7,361845.1,314.5,140.9,1,97,1,2,89,4,majority black,majority black,no,red,green,green,red,green,red,green,green,green,69,2650,133,2963
Better Waverly,0,better waverly,0.13345552295415672,0.1256406970614637,0.32868493467680876,2644,66,251,2257,11,16,0,2,42,2397,174,273,1799,7,43,0,17,84,baltimore city,-247,108,22,-459,-4,27,0,15,43,-9.3,164.7,8.9,-20.3,-33.7,169.5,4442.5,783,102.2,9,85,2,11,75,7,majority black,majority black,no,red,green,green,red,red,green,green,green,green,273,1799,174,2397
Beverly Hills,0,beverly hills,0.10801965413316991,0.09334859309293654,0.18144597836103707,524,15,255,230,2,5,0,1,14,465,21,208,200,1,5,0,3,27,baltimore city,-59,5,-47,-30,-1,-0,0,1,13,-11.3,32.8,-18.5,-13,-53.7,-7.5,847252,105.1,88.2,49,44,3,45,43,4,majority minority,majority minority,no,red,green,red,red,red,red,green,green,green,208,200,21,465
Biddle Street,0,biddle street,0.3251694691535705,0.35215777176303553,0.41770237272113864,2075,27,21,2000,4,5,0,1,17,1660,82,39,1481,7,4,0,5,43,baltimore city,-414,55,19,-519,2,-1,-0,5,25,-20,206.7,91.1,-25.9,46.2,-27.4,-100,878.1,144.7,1,96,1,2,89,5,majority black,majority black,no,red,green,green,red,green,red,red,green,green,39,1481,82,1660
Blythewood,0,blythewood,0.6463365333522699,0.6463365333522699,0.6463365333522699,722,32,589,61,1,22,0,0,16,647,57,318,59,0,178,0,1,33,baltimore city,-76,26,-271,-3,-1,156,0,1,17,-10.5,81,-46,-4.1,-99.9,697,Inf,168.2,103.2,82,9,4,49,9,9,majority minority,majortiy white,yes,red,green,red,red,red,green,green,green,green,318,59,57,647
Bolton Hill,0,bolton hill,0.09622642130327616,0.08929934416848284,0.222833735025697,5119,166,2724,1692,9,362,2,18,146,5154,315,2376,1578,4,598,0,35,248,baltimore city,35,149,-349,-114,-4,236,-2,17,102,0.7,89.8,-12.8,-6.7,-50.7,65.3,-94.2,91,69.5,53,33,3,46,31,6,majority minority,majortiy white,yes,green,green,red,red,red,green,red,green,green,2376,1578,315,5154
Boyd-Booth,0,boyd-booth,0.07405688852244421,0.0791617005721514,0.1357790417660423,611,12,108,465,1,11,0,1,12,373,17,45,286,2,3,0,3,18,baltimore city,-238,5,-63,-179,0,-8,-0,2,6,-38.9,37.5,-58.4,-38.4,36.3,-72.5,-99.5,200.8,45.5,18,76,2,12,77,4,majority black,majority black,no,red,green,red,red,green,red,red,green,green,45,286,17,373
Brewers Hill,0,brewers hill,0.12197533243008023,0.10446500665331819,0.2538643100533753,1107,111,887,44,12,34,0,2,16,1561,135,1166,82,6,101,0,5,67,baltimore city,454,23,279,38,-6,67,-0,3,50,41,21,31.5,85.4,-51.7,196.7,-99.6,200.6,310,80,4,10,75,5,9,majority white,majortiy white,yes,green,green,green,green,red,green,red,green,green,1166,82,135,1561
Bridgeview/Greenlawn,0,bridgeview/greenlawn,0.3695377789276102,0.374750701066349,0.6051594623177718,3273,25,18,3174,6,6,0,5,40,2661,55,24,2511,5,6,1,9,51,baltimore city,-613,29,6,-663,-1,0,1,4,11,-18.7,117.4,30.7,-20.9,-16.9,7.4,1617.2,92.5,26.8,1,97,1,1,94,2,majority black,majority black,no,red,green,green,red,red,green,green,green,green,24,2511,55,2661
Broadway East,0,broadway east,0.43883728399112165,0.4380129575533091,0.7343536155124981,4439,40,81,4240,10,10,1,1,56,3315,116,75,3000,6,22,0,8,89,baltimore city,-1123,76,-7,-1240,-4,12,-1,7,33,-25.3,191.3,-8.1,-29.2,-41.3,112.9,-64.3,612.4,58.4,2,96,1,2,90,4,majority black,majority black,no,red,green,red,red,red,green,red,green,green,75,3000,116,3315
Broening Manor,0,broening manor,0.31871665531895543,0.30366202632056866,0.5340617607699756,213,44,116,40,3,4,0,0,5,227,98,75,41,1,3,0,1,8,baltimore city,14,54,-41,1,-2,-1,-0,1,3,6.5,122.2,-35.5,3,-56,-33.2,-93.8,195.4,54.6,55,19,21,33,18,43,majority minority,majortiy white,yes,green,green,red,green,red,red,red,green,green,75,41,98,227
Brooklyn,0,brooklyn,0.2906145952983786,0.278770500143239,0.7938172596694427,8458,978,3798,3179,37,126,2,16,321,8035,2355,2216,2827,33,138,1,43,421,baltimore city,-423,1376,-1582,-352,-4,12,-1,27,101,-5,140.6,-41.6,-11.1,-10.7,9.8,-44.1,164.5,31.3,45,38,12,28,35,29,majority minority,majority minority,no,red,green,red,red,red,green,red,green,green,2216,2827,2355,8035
Burleith-Leighton,0,burleith-leighton,0.22279486094086026,0.2370262090635168,0.35228084896070805,347,1,3,334,1,0,0,2,6,330,7,7,304,0,2,1,1,9,baltimore city,-17,6,4,-30,-1,2,1,-2,3,-5,412.4,115,-9,-99.9,358,164200.6,-69.7,57.6,1,96,0,2,92,2,majority black,majority black,no,red,green,green,red,red,green,green,red,green,7,304,7,330
Butcher's Hill,0,butcher's hill,0.15798727172123225,0.16740217230375556,0.26005204503929796,1799,207,1060,429,14,52,1,3,33,1953,257,1093,379,5,112,0,13,93,baltimore city,154,51,33,-50,-9,60,-1,9,61,8.6,24.6,3.1,-11.6,-62.2,113.9,-100,289.4,186.2,59,24,11,56,19,13,majority white,majortiy white,yes,green,green,green,red,red,green,red,green,green,1093,379,257,1953
