viz_name,pharmacies,neighborhood,average_min_distance,median_min_distance,max_min_distance,x2010_pop,x2010_pop_hisp,x2010_pop_white_non_hisp,x2010_pop_black_non_hisp,x2010_pop_aian_non_hisp,x2010_pop_asian_non_hisp,x2010_pop_nhpi_non_hisp,x2010_pop_other_non_hisp,x2010_pop_two_plus_non_hisp,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_asian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,x2020_pop_two_plus_non_hisp,county,change_pop,change_pop_hisp,change_pop_white_non_hisp,change_pop_black_non_hisp,change_pop_aian_non_hisp,change_pop_asian_non_hisp,change_pop_nhpi_non_hisp,change_pop_other_non_hisp,change_pop_two_plus_non_hisp,pct_change_x2020_pop,pct_change_x2020_pop_hisp,pct_change_x2020_pop_white_non_hisp,pct_change_x2020_pop_black_non_hisp,pct_change_x2020_pop_aian_non_hisp,pct_change_x2020_pop_asian_non_hisp,pct_change_x2020_pop_nhpi_non_hisp,pct_change_x2020_pop_other_non_hisp,pct_change_x2020_pop_two_plus_non_hisp,x2010_pop_white_non_hisp_share,x2010_pop_black_non_hisp_share,x2010_pop_hisp_share,x2020_pop_white_non_hisp_share,x2020_pop_black_non_hisp_share,x2020_pop_hisp_share,x2020_majority_neighborhood_type,x2010_majority_neighborhood_type,majority_changed,color_pct_change_x2020_pop,color_pct_change_x2020_pop_hisp,color_pct_change_x2020_pop_white_non_hisp,color_pct_change_x2020_pop_black_non_hisp,color_pct_change_x2020_pop_aian_non_hisp,color_pct_change_x2020_pop_asian_non_hisp,color_pct_change_x2020_pop_nhpi_non_hisp,color_pct_change_x2020_pop_other_non_hisp,color_pct_change_x2020_pop_two_plus_non_hisp,viz_x2020_pop_white_non_hisp,viz_x2020_pop_black_non_hisp,viz_x2020_pop_hisp,viz_x2020_pop
Concerned Citizens Of Forest Park,0,concerned citizens of forest park,0.17515498656770018,0.19050956350222997,0.31368035104823877,519,6,10,495,2,1,0,1,5,486,10,18,440,1,3,0,3,12,baltimore city,-33,4,8,-55,-1,3,0,2,7,-6.3,69.2,80.5,-11.1,-51.5,311.6,Inf,403.1,132.7,2,95,1,4,90,2,majority black,majority black,no,red,green,green,red,red,green,green,green,green,18,440,10,486
Coppin Heights/Ash-Co-East,0,coppin heights/ash-co-east,0.5860486603633838,0.608297910070277,0.7004813665238909,2702,19,20,2622,4,10,2,0,25,1936,14,22,1855,4,6,0,3,32,baltimore city,-765,-5,2,-766,0,-4,-2,3,7,-28.3,-27.8,9.5,-29.2,3.5,-39,-98.7,709.5,28.3,1,97,1,1,96,1,majority black,majority black,no,red,red,green,red,green,red,red,green,green,22,1855,14,1936
Cross Country,0,cross country,0.5123713696484813,0.5092874703729101,0.7693227915780683,5375,125,3961,1019,3,184,1,19,64,5446,248,3760,1112,1,62,0,91,171,baltimore city,71,123,-201,93,-2,-122,-1,72,108,1.3,98.2,-5.1,9.1,-60.5,-66.4,-100,372.9,169.1,74,19,2,69,20,5,majority white,majortiy white,yes,green,green,red,green,red,red,red,green,green,3760,1112,248,5446
Cross Keys,0,cross keys,0.14056238445177166,0.06636454808267132,0.29439066740451353,834,15,694,83,0,25,1,4,13,860,41,662,87,1,43,0,3,24,baltimore city,26,26,-32,4,1,18,-1,-1,11,3.1,176.6,-4.5,4.8,7179.6,69.9,-99.8,-23.5,85.2,83,10,2,77,10,5,majority white,majortiy white,yes,green,green,red,green,green,green,red,red,green,662,87,41,860
Curtis Bay,0,curtis bay,1.0163893610369654,1.0177418929353463,1.3349440323163348,842,54,437,290,6,17,0,1,38,792,115,304,301,2,10,1,6,54,baltimore city,-50,61,-132,11,-4,-7,1,4,16,-6,114.1,-30.3,3.9,-69.4,-41.6,Inf,362.5,40.9,52,34,6,38,38,14,majority minority,majortiy white,yes,red,green,red,green,red,red,green,green,green,304,301,115,792
Curtis Bay Industrial Area,0,curtis bay industrial area,1.0552204765739666,1.1195598075364368,1.5277923937934283,685,44,355,236,5,14,0,1,31,644,93,247,245,1,8,1,5,44,baltimore city,-41,50,-108,9,-3,-6,1,4,13,-6,114.1,-30.3,3.9,-69.4,-41.6,Inf,362.5,40.9,52,34,6,38,38,14,majority minority,majortiy white,yes,red,green,red,green,red,red,green,green,green,247,245,93,644
Cylburn,0,cylburn,0.3148861938208624,0.3135866752489214,0.4510568010355708,2264,24,78,2119,9,6,0,3,25,1842,54,75,1654,5,5,1,7,41,baltimore city,-423,29,-3,-465,-4,-1,1,4,16,-18.7,121.7,-3.9,-21.9,-44.7,-15.4,Inf,150.4,64.3,3,94,1,4,90,3,majority black,majority black,no,red,green,red,red,red,red,green,green,green,75,1654,54,1842
Darley Park,0,darley park,0.10403900846567617,0.07363632622638261,0.26051325211106485,657,4,5,638,2,2,0,0,6,514,5,12,468,1,0,0,5,23,baltimore city,-143,1,7,-170,-1,-2,0,5,17,-21.8,27.8,149.9,-26.6,-60,-99.9,Inf,261719.9,268.3,1,97,1,2,91,1,majority black,majority black,no,red,green,green,red,red,red,green,green,green,12,468,5,514
Dickeyville,0,dickeyville,0.2890766579106644,0.2750358163627676,0.4372325637591157,692,13,56,608,2,3,0,3,7,622,24,70,493,1,8,0,3,22,baltimore city,-70,11,15,-115,-1,5,0,1,14,-10.1,83.1,26.8,-18.9,-27.3,157.9,NA,20.1,197.6,8,88,2,11,79,4,majority black,majority black,no,red,green,green,red,red,green,NA,green,green,70,493,24,622
Dolfield,0,dolfield,0.24202675053551678,0.2538442580409242,0.42145190968876817,1598,15,24,1534,4,4,0,2,13,1417,41,38,1284,5,8,0,4,35,baltimore city,-181,26,14,-250,1,4,0,2,22,-11.3,176.9,60,-16.3,18.8,96.9,150,88.6,163.7,2,96,1,3,91,3,majority black,majority black,no,red,green,green,red,green,green,green,green,green,38,1284,41,1417
Dorchester,0,dorchester,0.301060434064059,0.31985146722673924,0.5151226800538087,1683,14,30,1614,6,4,0,2,14,1496,46,49,1348,5,9,0,5,33,baltimore city,-187,33,20,-266,-1,5,0,3,19,-11.1,240.9,66.5,-16.5,-12.2,106,Inf,138.6,137.9,2,96,1,3,90,3,majority black,majority black,no,red,green,green,red,red,green,green,green,green,49,1348,46,1496
Downtown,0,downtown,0.0815444400217197,0.07479719509964816,0.21445295301657782,3541,195,1609,902,8,713,3,14,97,5899,419,2159,1905,6,1036,0,39,333,baltimore city,2358,224,551,1003,-2,323,-3,26,237,66.6,114.5,34.2,111.2,-22.6,45.3,-95.6,186.7,244.9,45,25,6,37,32,7,majority minority,majority minority,no,green,green,green,green,red,green,red,green,green,2159,1905,419,5899
Downtown West,0,downtown west,0.14177393165486576,0.1360671577693236,0.3262451910711861,954,38,600,176,3,111,1,3,22,1347,85,711,302,1,171,0,9,67,baltimore city,393,47,111,126,-1,60,-1,6,46,41.2,122.7,18.5,71.3,-54.8,54,-93.2,216.6,211.5,63,18,4,53,22,6,majority white,majortiy white,yes,green,green,green,green,red,green,red,green,green,711,302,85,1347
Druid Heights,0,druid heights,0.13496219473634516,0.1440214797870731,0.2302091377098363,1409,20,59,1293,3,10,1,3,19,1234,17,65,1091,2,6,2,3,47,baltimore city,-174,-3,6,-202,-1,-4,1,0,28,-12.4,-14.4,9.5,-15.7,-19.7,-36.9,99.7,1.9,146.1,4,92,1,5,88,1,majority black,majority black,no,red,red,green,red,red,red,green,green,green,65,1091,17,1234
Druid Hill Park,0,druid hill park,0.3430601606981254,0.4231343602251524,0.6746448082280958,1866,27,114,1675,2,6,0,3,40,1528,35,136,1291,5,8,0,5,48,baltimore city,-338,9,22,-383,3,2,0,2,8,-18.1,32.6,19.3,-22.9,124.6,34.8,Inf,78.3,20.4,6,90,1,9,85,2,majority black,majority black,no,red,green,green,red,green,green,green,green,green,136,1291,35,1528
Dunbar-Broadway,0,dunbar-broadway,0.07482116819408081,0.06925117167769941,0.19667299317373188,1524,48,174,1219,4,55,1,3,19,1350,130,199,853,3,94,0,14,57,baltimore city,-174,82,24,-366,-1,39,-1,11,38,-11.4,169.5,13.9,-30,-29.1,71.9,-99.2,433.6,199.4,11,80,3,15,63,10,majority black,majority black,no,red,green,green,red,red,green,red,green,green,199,853,130,1350
Dundalk Marine Terminal,0,dundalk marine terminal,0.31771235265118475,0.31771235265118475,0.31771235265118475,532,111,301,87,8,11,1,1,12,563,247,195,89,3,7,0,3,19,baltimore city,32,136,-106,2,-4,-4,-1,2,7,5.9,122.4,-35.3,2,-57.4,-36.4,-100,210,53.2,57,16,21,35,16,44,majority minority,majortiy white,yes,green,green,red,green,red,red,red,green,green,195,89,247,563
East Arlington,0,east arlington,0.30295810687630553,0.3017053101519571,0.5771989977193286,1303,16,13,1254,2,3,0,3,11,1149,29,18,1052,5,6,1,4,34,baltimore city,-154,13,5,-202,3,3,1,1,23,-11.8,84.8,37.4,-16.1,145.5,75,150.8,40.1,205.1,1,96,1,2,92,3,majority black,majority black,no,red,green,green,red,green,green,green,green,green,18,1052,29,1149
East Baltimore Midway,0,east baltimore midway,0.15598112095186759,0.13194465622908247,0.404893384641537,2900,13,34,2790,12,19,0,0,32,2230,63,72,2012,6,6,0,12,59,baltimore city,-669,50,38,-778,-6,-13,-0,12,28,-23.1,384.7,109.2,-27.9,-47.1,-68.4,-100,135346.8,87.2,1,96,0,3,90,3,majority black,majority black,no,red,green,green,red,red,red,red,green,green,72,2012,63,2230
Easterwood,0,easterwood,0.42000786745082364,0.41315659557794815,0.5443653967283862,1271,10,9,1234,1,5,0,1,10,865,7,9,828,1,1,0,3,16,baltimore city,-405,-3,-0,-407,0,-4,0,2,6,-31.9,-29.6,-3.4,-32.9,40.3,-77.6,7.5,198,61.1,1,97,1,1,96,1,majority black,majority black,no,red,red,red,red,green,red,green,green,green,9,828,7,865
Eastwood,0,eastwood,0.6085886039111453,0.607444824263522,0.7082633894983749,110,28,68,8,0,4,0,0,2,134,69,44,12,0,4,0,1,3,baltimore city,24,42,-24,5,-0,-0,-0,0,1,21.5,151.2,-34.7,62,-12.5,-8.7,-100,94.7,39.4,62,7,25,33,9,52,majority hispanic,majortiy white,yes,green,green,red,green,red,red,red,green,green,44,12,69,134
Edgewood,0,edgewood,0.5989182000820776,0.6437905455482706,0.7330247883731136,681,5,5,661,3,0,1,0,5,585,11,6,554,1,1,0,1,11,baltimore city,-96,6,2,-107,-3,0,-1,1,6,-14.1,114.8,36.1,-16.2,-73,168.6,-99,211.6,107.3,1,97,1,1,95,2,majority black,majority black,no,red,green,green,red,red,green,red,green,green,6,554,11,585
Edmondson Village,0,edmondson village,0.49759954229561637,0.4885024182825158,0.6795761159190031,3503,28,26,3384,4,2,0,0,57,3208,64,49,2979,8,2,2,6,97,baltimore city,-294,37,23,-405,4,0,2,6,40,-8.4,133,85.1,-12,99,7.4,611.3,4482.6,69.1,1,97,1,2,93,2,majority black,majority black,no,red,green,green,red,green,green,green,green,green,49,2979,64,3208
Ednor Gardens-Lakeside,0,ednor gardens-lakeside,0.31655227167174005,0.32815752347820243,0.6605472155616462,5450,96,805,4350,17,79,2,9,94,4883,142,894,3555,8,70,1,16,196,baltimore city,-567,46,90,-794,-9,-9,-1,8,102,-10.4,47.7,11.2,-18.3,-53,-11.6,-27.8,90.6,108.7,15,80,2,18,73,3,majority black,majority black,no,red,green,green,red,red,red,red,green,green,894,3555,142,4883
Ellwood Park/Monument,0,ellwood park/monument,0.33969201000926924,0.3493417944177741,0.4464581230916267,3287,718,658,1777,34,41,1,5,53,2909,985,612,1134,15,50,0,12,101,baltimore city,-378,266,-46,-643,-18,10,-1,7,48,-11.5,37.1,-7,-36.2,-54.5,23.6,-67.6,132.4,88.8,20,54,22,21,39,34,majority minority,majority black,yes,red,green,red,red,red,green,red,green,green,612,1134,985,2909
Evergreen,0,evergreen,0.5726579046490777,0.5673902075474575,0.6463365333522699,320,10,245,24,0,33,0,1,7,328,15,230,24,0,42,0,2,15,baltimore city,8,5,-16,1,-0,9,0,2,8,2.4,45.1,-6.5,2.7,-100,26.3,Inf,312.6,117.6,77,7,3,70,7,4,majority white,majortiy white,yes,green,green,red,green,red,green,green,green,green,230,24,15,328
Evergreen Lawn,0,evergreen lawn,0.20591090458666503,0.19334925738474765,0.32094365391690405,563,4,3,546,1,1,0,1,8,484,11,4,457,1,1,0,1,9,baltimore city,-79,6,1,-89,-0,0,0,1,1,-14.1,138.2,42.9,-16.3,-33.3,59.9,NA,83.4,19.3,0,97,1,1,94,2,majority black,majority black,no,red,green,green,red,red,green,NA,green,green,4,457,11,484
Evesham Park,0,evesham park,0.15963920694867942,0.14480800707451263,0.2958874654680017,740,55,332,304,1,27,1,4,16,700,48,295,297,1,26,1,6,26,baltimore city,-40,-7,-37,-7,-0,-0,-0,2,10,-5.4,-12.8,-11.1,-2.2,-0.7,-1,-33.3,40.2,60.9,45,41,7,42,42,7,majority minority,majority minority,no,red,red,red,red,red,red,red,green,green,295,297,48,700
Fairfield Area,0,fairfield area,1.1859553004348988,1.2590379830527354,2.12102357274918,864,98,472,233,4,20,0,2,35,815,207,296,236,4,21,0,5,46,baltimore city,-49,109,-175,3,-1,1,0,4,11,-5.7,111.1,-37.2,1.2,-20.8,4.5,40170.4,227.8,31.9,55,27,11,36,29,25,majority minority,majortiy white,yes,red,green,red,green,red,green,green,green,green,296,236,207,815
Fairmont,0,fairmont,0.2508127254422261,0.28400371114080725,0.37361568507017556,1268,14,17,1212,3,2,0,1,20,1114,15,31,1032,2,4,0,4,27,baltimore city,-154,1,14,-180,-0,3,-0,3,7,-12.1,5.9,82.7,-14.9,-16.9,148.2,-100,496.2,35.2,1,96,1,3,93,1,majority black,majority black,no,red,green,green,red,red,green,red,green,green,31,1032,15,1114
Fallstaff,0,fallstaff,0.15557265454069688,0.13668210878567189,0.3083119690481793,4038,566,1337,1900,13,135,19,5,62,4001,869,1115,1797,8,48,0,68,97,baltimore city,-36,303,-222,-103,-5,-88,-19,63,35,-0.9,53.5,-16.6,-5.4,-41.6,-64.7,-100,1146.7,57.4,33,47,14,28,45,22,majority minority,majority minority,no,red,green,red,red,red,red,red,green,green,1115,1797,869,4001
Federal Hill,0,federal hill,0.11835242977686454,0.09989528309739047,0.2858888613463519,2581,82,2136,229,3,86,1,5,39,2878,144,2198,252,2,151,0,11,120,baltimore city,297,62,62,22,-1,65,-1,6,81,11.5,74.9,2.9,9.7,-40.7,76.3,-85.6,140.5,207.7,83,9,3,76,9,5,majority white,majortiy white,yes,green,green,green,green,red,green,red,green,green,2198,252,144,2878
Fells Point,0,fells point,0.18747667440147933,0.18448340980072397,0.3972492879581178,4142,423,2824,582,18,205,4,4,83,5367,535,3575,505,12,462,2,30,244,baltimore city,1224,112,751,-77,-6,258,-1,26,161,29.6,26.5,26.6,-13.2,-34.3,126,-30.6,698.4,193.7,68,14,10,67,9,10,majority white,majortiy white,yes,green,green,green,red,red,green,red,green,green,3575,505,535,5367
Forest Park,0,forest park,0.27674502808756535,0.3062052998872772,0.5094758761309469,1511,24,21,1439,3,1,0,2,20,1504,44,50,1349,4,4,0,18,35,baltimore city,-7,20,29,-89,1,3,0,16,15,-0.4,81.9,136.1,-6.2,21.8,242.5,95988.5,644.5,71.7,1,95,2,3,90,3,majority black,majority black,no,red,green,green,red,green,green,green,green,green,50,1349,44,1504
Forest Park Golf Course,0,forest park golf course,0.33344619116674296,0.310678554357535,0.4570424507711485,535,8,17,500,1,2,0,0,7,440,14,12,390,1,3,0,8,12,baltimore city,-95,5,-4,-110,1,0,0,8,5,-17.7,61.7,-26.5,-22,97.8,14.9,Inf,6685.3,68.3,3,93,2,3,89,3,majority black,majority black,no,red,green,red,red,green,green,green,green,green,12,390,14,440
Four By Four,0,four by four,0.3164263337641144,0.32259007330251654,0.4482562771346614,1250,12,27,1188,1,3,0,1,18,949,24,30,867,2,4,0,3,19,baltimore city,-301,12,3,-322,0,2,0,2,1,-24.1,100.5,10.4,-27.1,49.8,77.9,Inf,248,3.2,2,95,1,3,91,3,majority black,majority black,no,red,green,green,red,green,green,green,green,green,30,867,24,949
Frankford,0,frankford,0.39227841912328487,0.3783008298928484,0.9224895963129963,17598,346,2248,14266,51,337,3,16,333,16864,502,1380,14169,45,214,4,78,472,baltimore city,-734,157,-867,-98,-6,-123,1,62,139,-4.2,45.3,-38.6,-0.7,-11.7,-36.5,56.6,385.6,41.9,13,81,2,8,84,3,majority black,majority black,no,red,green,red,red,red,red,green,green,green,1380,14169,502,16864
Franklin Square,0,franklin square,0.13775770796611578,0.1388781292924195,0.2544878987692745,2476,98,138,2172,18,10,0,0,39,2054,117,111,1733,7,13,0,11,61,baltimore city,-422,19,-28,-439,-11,3,0,11,22,-17,19.3,-20.1,-20.2,-61,35.9,162.5,3470.9,56.7,6,88,4,5,84,6,majority black,majority black,no,red,green,red,red,red,green,green,green,green,111,1733,117,2054
Franklintown,0,franklintown,0.3829258680209607,0.36014179222393605,0.678397597778562,2016,38,162,1774,5,9,0,7,21,1813,69,203,1441,4,24,0,9,63,baltimore city,-203,31,42,-332,-1,14,-0,2,42,-10.1,83.4,25.9,-18.7,-27.5,154.9,-100,21.7,196.3,8,88,2,11,79,4,majority black,majority black,no,red,green,green,red,red,green,red,green,green,203,1441,69,1813
Franklintown Road,0,franklintown road,0.1743603558863551,0.18339310060816277,0.34893271591462255,1926,24,12,1861,4,4,0,1,20,1426,24,16,1338,4,1,0,6,37,baltimore city,-500,-0,4,-523,-0,-3,0,5,18,-26,-0,29.3,-28.1,-1.8,-79.5,67.9,701.8,88.6,1,97,1,1,94,2,majority black,majority black,no,red,red,green,red,red,red,green,green,green,16,1338,24,1426
Garwyn Oaks,0,garwyn oaks,0.1971027501318223,0.1941439396938478,0.3663780353834741,1319,22,18,1254,2,1,0,2,18,1321,39,45,1183,3,3,0,17,31,baltimore city,2,17,26,-72,1,2,0,15,13,0.2,77.1,142.3,-5.7,25,266.7,Inf,671.4,70.7,1,95,2,3,90,3,majority black,majority black,no,green,green,green,red,green,green,green,green,green,45,1183,39,1321
Gay Street,0,gay street,0.16631402172937487,0.17331198669474757,0.27948430066871077,1390,9,16,1342,1,9,0,1,12,1623,34,107,1332,4,100,0,4,43,baltimore city,234,24,91,-10,3,91,-0,3,31,16.8,265.5,577.1,-0.8,272.2,1045.6,-100,386,267.2,1,97,1,7,82,2,majority black,majority black,no,green,green,green,red,green,green,red,green,green,107,1332,34,1623
Glen,0,glen,0.2915529127265382,0.3002603550109325,0.577439762903908,7088,160,3061,3677,11,57,5,25,92,7173,446,2949,3354,9,97,1,114,204,baltimore city,85,286,-112,-322,-2,40,-5,89,111,1.2,178.2,-3.7,-8.8,-17.1,70.4,-90.2,355.5,120.7,43,52,2,41,47,6,majority minority,majority black,yes,green,green,red,red,red,green,red,green,green,2949,3354,446,7173
Glen Oaks,0,glen oaks,0.4683984031301308,0.4410956489274852,0.6449347218172401,3251,60,256,2844,5,29,2,2,54,3040,100,195,2615,5,23,1,13,88,baltimore city,-211,40,-61,-229,0,-6,-1,11,34,-6.5,65.8,-23.8,-8,5.1,-20.5,-59,562.6,63.1,8,87,2,6,86,3,majority black,majority black,no,red,green,red,red,green,red,red,green,green,195,2615,100,3040
Glenham-Belhar,0,glenham-belhar,0.46944252344269366,0.47290579761733775,0.7476375171791749,6171,119,2141,3664,22,69,1,20,135,5728,175,1518,3706,22,66,5,31,206,baltimore city,-443,56,-623,41,0,-3,4,11,71,-7.2,47.4,-29.1,1.1,0.4,-4.7,628.6,57.4,52.3,35,59,2,27,65,3,majority black,majority black,no,red,green,red,green,green,red,green,green,green,1518,3706,175,5728
Graceland Park,0,graceland park,0.23322356331098845,0.1970635116141909,0.6913532558583604,869,193,457,169,5,23,0,3,19,1013,463,293,198,3,21,0,6,28,baltimore city,144,270,-164,29,-2,-2,-0,3,9,16.6,139.4,-35.8,16.9,-32.3,-7.6,-48.6,108.1,50.8,53,19,22,29,20,46,majority minority,majortiy white,yes,green,green,red,green,red,red,red,green,green,293,198,463,1013
Greektown,0,greektown,0.11009952607350891,0.09457210756863074,0.2994755825650072,1302,424,716,106,8,25,0,2,21,1810,774,740,157,5,71,0,8,54,baltimore city,507,350,24,51,-3,47,0,5,33,39,82.5,3.3,48.2,-38.3,188.3,134.8,229,159.5,55,8,33,41,9,43,majority minority,majortiy white,yes,green,green,green,green,red,green,green,green,green,740,157,774,1810
Greenmount Cemetery,0,greenmount cemetery,0.23472603323123534,0.23472603323123534,0.23472603323123534,988,11,12,946,1,3,0,2,13,969,19,13,916,4,0,0,6,11,baltimore city,-19,8,0,-30,3,-3,-0,4,-2,-2,78,0.2,-3.2,396.3,-99.9,-100,275.4,-15.5,1,96,1,1,95,2,majority black,majority black,no,red,green,green,red,green,red,red,green,red,13,916,19,969
Greenmount West,0,greenmount west,0.20339378282562356,0.19739088117049378,0.34112082057384735,859,14,217,587,2,21,0,0,18,1129,76,354,587,2,44,0,5,60,baltimore city,270,61,137,0,-0,24,0,5,42,31.4,434.3,63.2,0,-0.8,112.8,49980.3,129770.9,240.9,25,68,2,31,52,7,majority black,majority black,no,green,green,green,green,red,green,green,green,green,354,587,76,1129
Greenspring,0,greenspring,0.2498783872118023,0.23559534332365586,0.41553543745323623,2271,20,26,2192,5,3,1,1,24,1790,45,65,1611,5,2,1,8,52,baltimore city,-482,25,39,-580,-1,-1,0,8,28,-21.2,125.2,153.3,-26.5,-12.4,-34.7,66.9,879.6,119.1,1,96,1,4,90,3,majority black,majority black,no,red,green,green,red,red,red,green,green,green,65,1611,45,1790
Grove Park,0,grove park,0.3404405018504212,0.3336112230225354,0.48334417460073864,1537,24,22,1461,6,3,0,2,19,1378,51,29,1243,3,5,1,7,37,baltimore city,-159,27,7,-218,-3,2,1,5,19,-10.3,112.5,33.5,-14.9,-47.7,61.4,Inf,264.3,101.3,1,95,2,2,90,4,majority black,majority black,no,red,green,green,red,red,green,green,green,green,29,1243,51,1378
Guilford,0,guilford,0.5186452318015469,0.5758586874330295,0.7432209920803479,5784,226,4325,477,6,624,2,11,115,5549,361,2932,469,0,1468,1,25,293,baltimore city,-236,135,-1393,-8,-6,844,-1,14,178,-4.1,60.1,-32.2,-1.7,-99.3,135.4,-67.9,135.3,154.5,75,8,4,53,8,7,majority white,majortiy white,yes,red,green,red,red,red,green,red,green,green,2932,469,361,5549
Gwynns Falls,0,gwynns falls,0.1227223891507828,0.10444072403889194,0.28642267801820115,678,17,205,437,2,6,0,1,10,591,50,135,360,2,12,0,4,28,baltimore city,-87,33,-70,-77,1,6,-0,3,18,-12.8,192,-34.2,-17.6,40.3,107.7,-100,292.3,178.1,30,65,3,23,61,8,majority black,majority black,no,red,green,red,red,green,green,red,green,green,135,360,50,591
Gwynns Falls/Leakin Park,0,gwynns falls/leakin park,0.3867527948024632,0.3324496595686857,0.7182783869716824,4833,47,70,4639,18,6,3,5,45,4216,85,100,3901,6,15,0,12,98,baltimore city,-617,37,29,-738,-12,9,-3,7,53,-12.8,78.8,41.7,-15.9,-66.7,153.6,-99.7,161.7,118.1,1,96,1,2,93,2,majority black,majority black,no,red,green,green,red,red,green,red,green,green,100,3901,85,4216
Hamilton Hills,0,hamilton hills,0.48038160975598665,0.4842762977197501,0.7612593592174737,9996,283,2889,6485,21,98,1,16,203,9878,378,2266,6674,31,79,2,62,385,baltimore city,-118,95,-623,190,10,-19,1,47,181,-1.2,33.8,-21.6,2.9,47.5,-19.3,48.5,300.2,89.1,29,65,3,23,68,4,majority black,majority black,no,red,green,red,green,green,red,green,green,green,2266,6674,378,9878
Hampden,0,hampden,0.17178973505060724,0.13706167009744655,0.4439197351279993,5959,185,5045,369,17,220,1,3,120,6091,256,4787,390,11,330,0,28,290,baltimore city,132,71,-258,21,-6,110,-0,24,170,2.2,38.5,-5.1,5.8,-36.3,50,-49.9,772.7,141.4,85,6,3,79,6,4,majority white,majortiy white,yes,green,green,red,green,red,green,red,green,green,4787,390,256,6091
Hanlon-Longwood,0,hanlon-longwood,0.25455929317623915,0.27221740075192297,0.40666693701021145,2317,28,22,2227,2,2,0,3,32,2289,57,37,2120,3,10,0,15,47,baltimore city,-28,29,16,-106,0,7,0,12,15,-1.2,102.4,71.3,-4.8,14.2,294.2,1703.8,389.7,45.2,1,96,1,2,93,2,majority black,majority black,no,red,green,green,red,green,green,green,green,green,37,2120,57,2289
Harlem Park,0,harlem park,0.17355314302964323,0.16179430616438417,0.41441219768382787,5015,55,70,4805,9,15,0,4,57,3717,90,102,3377,3,22,1,24,99,baltimore city,-1298,34,32,-1428,-6,7,1,19,42,-25.9,62.5,45.7,-29.7,-65.6,50.3,Inf,434.9,73.1,1,96,1,3,91,2,majority black,majority black,no,red,green,green,red,red,green,green,green,green,102,3377,90,3717
Harwood,0,harwood,0.0911261329579497,0.08810821068433623,0.20784297139365973,1607,52,524,939,6,47,2,4,33,1699,153,603,778,3,61,1,8,92,baltimore city,92,101,79,-161,-4,14,-1,4,60,5.8,194.1,15.1,-17.1,-57,30.1,-40,113.7,184.5,33,58,3,35,46,9,majority minority,majority black,yes,green,green,green,red,red,green,red,green,green,603,778,153,1699
Hawkins Point,0,hawkins point,1.5453491810487183,1.7628210876491635,2.1060158548668113,3178,202,1648,1093,21,66,0,5,144,2989,433,1149,1136,6,38,2,22,202,baltimore city,-189,231,-499,43,-15,-27,2,17,59,-6,114.1,-30.3,3.9,-69.4,-41.6,Inf,362.5,40.9,52,34,6,38,38,14,majority minority,majortiy white,yes,red,green,red,green,red,red,green,green,green,1149,1136,433,2989
Heritage Crossing,0,heritage crossing,0.1867593130230934,0.1781676270453123,0.2893771458420383,1397,19,33,1312,5,10,0,0,18,1224,31,39,1097,4,5,1,9,38,baltimore city,-173,13,6,-215,-1,-5,1,9,20,-12.4,68.2,18.3,-16.4,-19.2,-50.6,600.4,1805.6,109.5,2,94,1,3,90,3,majority black,majority black,no,red,green,green,red,red,red,green,green,green,39,1097,31,1224
Herring Run Park,0,herring run park,0.09907980572167911,0.09182366758664592,0.13316253747359438,1079,22,353,662,3,12,0,1,25,962,34,300,567,1,14,0,3,43,baltimore city,-117,11,-53,-95,-2,2,0,2,18,-10.8,50.2,-15,-14.3,-67.9,19.6,9090.4,152.9,70.4,33,61,2,31,59,3,majority black,majority black,no,red,green,red,red,red,green,green,green,green,300,567,34,962
Highlandtown,0,highlandtown,0.10520561926459913,0.11098391184574533,0.20434696880448586,3016,839,1465,561,30,57,2,3,59,3298,1294,1408,385,13,86,0,13,99,baltimore city,282,455,-57,-177,-16,28,-2,10,41,9.4,54.3,-3.9,-31.5,-54.8,49.3,-95.1,377.6,69.9,49,19,28,43,12,39,majority minority,majority minority,no,green,green,red,red,red,green,red,green,green,1408,385,1294,3298
Hillen,0,hillen,0.8130677804716216,0.8209307419234504,0.9511807244217357,1552,38,138,1330,2,13,1,3,27,1393,45,257,840,1,190,0,7,54,baltimore city,-159,7,119,-490,-2,177,-1,5,27,-10.2,18.8,86.1,-36.9,-65.6,1326,-91.8,173.4,99,9,86,2,18,60,3,majority black,majority black,no,red,green,green,red,red,green,red,green,green,257,840,45,1393
Hoes Heights,0,hoes heights,0.07864662507800312,0.08357611517087521,0.14996255474351855,998,32,812,91,2,42,0,1,18,992,35,737,94,1,82,0,5,38,baltimore city,-6,4,-75,3,-1,40,-0,4,20,-0.6,11.2,-9.2,3.5,-53.8,96.4,-50,379.8,109.5,81,9,3,74,10,4,majority white,majortiy white,yes,red,green,red,green,red,green,red,green,green,737,94,35,992
